forcesRadialDistribution
(
//(Uref[m/s], Uinf[m/s], r[m], Udi(r)[m/s], fn(r)[(N/m^2)/(kg/m^3)], ft(r)[(N/m^2)/(kg/m^3)])
(7 8 37.0616 6.4007 20.52861 3.95295)
(7 8 41.0521 6.40376 20.40808 3.54774)
(7 8 45.0426 6.4459 20.14733 3.19212)
(7 8 49.0332 6.51982 19.58985 2.85119)
(7 8 53.0237 6.67543 18.38072 2.47388)
(7 8 57.0142 6.9315 15.80025 1.97773)
(7 8 61.0047 7.26099 10.03352 1.17375)
(7 9 0.0 8.98845 0.0 0.0)
(7 9 5.13742 8.80982 0.26696 0.36854)
(7 9 9.12794 8.55688 2.51436 1.95358)
(7 9 13.1185 8.32276 8.81739 4.76687)
(7 9 17.109 8.05618 16.67709 6.91309)
(7 9 21.0995 7.82781 20.50036 6.89073)
(7 9 25.09 7.6952 21.02964 5.94439)
(7 9 29.0806 7.63414 21.01418 5.12491)
(7 9 33.0711 7.61602 20.95637 4.49412)
(7 9 37.0616 7.62047 20.84588 3.98908)
(7 9 41.0521 7.63233 20.63818 3.56543)
(7 9 45.0426 7.67911 20.24064 3.18696)
(7 9 49.0332 7.75539 19.48767 2.81868)
(7 9 53.0237 7.89875 18.04881 2.4141)
(7 9 57.0142 8.12328 15.29855 1.90302)
(7 9 61.0047 8.40057 9.60406 1.11652)
(7 10 0.0 9.9532 0.0 0.0)
(7 10 5.13742 9.80019 0.27221 0.37372)
(7 10 9.12794 9.58459 2.56377 1.98103)
(7 10 13.1185 9.38405 8.99011 4.83356)
(7 10 17.109 9.1552 17.0001 7.00829)
(7 10 21.0995 8.95956 20.8887 6.98271)
(7 10 25.09 8.84704 21.41291 6.01948)
(7 10 29.0806 8.79762 21.37255 5.18368)
(7 10 33.0711 8.78565 21.27484 4.53736)
(7 10 37.0616 8.795 21.10265 4.01603)
(7 10 41.0521 8.81329 20.80332 3.57422)
(7 10 45.0426 8.86257 20.27775 3.17527)
(7 10 49.0332 8.9388 19.36218 2.78515)
(7 10 53.0237 9.07036 17.75422 2.36166)
(7 10 57.0142 9.26785 14.89578 1.84274)
(7 10 61.0047 9.5032 9.27189 1.07199)
(8 6 0.0 6.24247 0.0 0.0)
(8 6 5.13742 5.84608 0.31797 0.45228)
(8 6 9.12794 5.28545 2.99481 2.39754)
(8 6 13.1185 4.77264 10.5031 5.85068)
(8 6 17.109 4.20157 19.8701 8.48684)
(8 6 21.0995 3.70732 24.4356 8.46294)
(8 6 25.09 3.3792 25.0856 7.30622)
(8 6 29.0806 3.18223 25.1033 6.3081)
(8 6 33.0711 3.05952 25.10339 5.54694)
(8 6 37.0616 3.00513 25.1033 4.94967)
(8 6 41.0521 2.96829 25.10298 4.46848)
(8 6 45.0426 2.99229 25.1008 4.07224)
(8 6 49.0332 3.04702 25.08506 3.73848)
(8 6 53.0237 3.24593 24.93797 3.43685)
(8 6 57.0142 3.62749 23.70251 3.03796)
(8 6 61.0047 4.22272 16.63711 1.9929)
(8 7 0.0 7.16137 0.0 0.0)
(8 7 5.13742 6.82571 0.32623 0.45988)
(8 7 9.12794 6.34812 3.07259 2.4378)
